timestamp	bpm
06:22:46	90
06:22:51	87
06:22:56	86
06:23:01	86
06:23:11	87
06:23:16	89
06:23:21	90
06:23:26	92
06:23:31	91
06:23:36	88
06:23:41	84
06:23:46	87
06:23:51	90
06:23:56	94
06:24:01	98
06:24:06	103
06:24:11	108
06:24:16	114
06:24:21	120
06:24:26	127
06:24:31	134
06:24:36	141
06:24:41	147
06:24:46	150
06:24:51	147
06:24:56	143
06:25:01	140
06:25:06	135
06:25:11	129
06:25:16	124
06:25:21	118
06:25:26	111
06:25:31	104
06:25:36	97
06:25:41	91
06:25:46	87
06:25:51	87
06:26:01	88
06:26:06	89
06:26:11	89
06:26:16	90
06:26:21	91
06:26:26	94
06:26:31	96
06:26:36	97
06:26:41	99
06:26:46	97
06:26:51	92
06:26:56	87
06:27:01	83
06:27:06	79
06:27:11	76
06:27:16	75
06:27:31	75
06:27:36	78
06:27:46	77
06:27:56	75
06:28:01	75
06:28:16	77
06:28:26	80
06:28:31	84
06:28:36	88
06:28:41	93
06:28:46	98
06:28:51	102
06:28:56	101
06:29:01	96
06:29:06	94
06:29:11	91
06:29:16	90
06:29:21	92
06:29:26	91
06:29:31	89
06:29:46	90
06:29:51	88
06:30:01	87
06:30:06	86
06:30:11	85
06:30:16	86
06:30:26	87
06:30:31	86
06:30:36	88
06:30:51	92
06:30:56	95
06:31:01	96
06:31:06	98
06:31:11	103
06:31:16	108
06:31:21	110
06:31:31	113
06:31:36	112
06:31:41	109
06:31:46	110
06:31:51	107
06:31:56	108
06:32:01	111
06:32:06	113
06:32:11	119
06:32:16	125
06:32:21	131
06:32:26	137
06:32:31	135
06:32:36	129
06:32:41	123
06:32:46	119
06:32:51	113
06:32:56	107
06:33:01	101
06:33:06	95
06:33:11	90
06:33:16	87
06:33:21	89
06:33:26	93
06:33:31	98
06:33:36	96
06:33:41	92
06:33:46	89
06:33:51	84
06:33:56	80
06:34:01	82
06:34:06	88
06:34:11	89
06:34:16	83
06:34:21	81
06:34:26	80
06:34:31	76
06:34:36	75
06:34:46	74
06:34:51	73
06:34:56	74
06:35:06	76
06:35:11	78
06:35:16	81
06:35:21	82
06:35:26	81
06:35:36	83
06:35:41	87
06:35:46	91
06:35:51	94
06:35:56	98
06:36:01	99
06:36:06	100
06:36:11	98
06:36:16	97
06:36:21	101
06:36:26	100
06:36:36	102
06:36:41	105
06:36:46	109
06:36:51	114
06:36:56	122
06:37:01	129
06:37:06	136
06:37:11	143
06:37:16	148
06:37:21	152
06:37:26	153
06:37:36	153
06:37:41	155
06:37:51	156
06:37:56	157
06:38:01	158
06:38:16	158
06:38:26	157
06:38:31	157
06:38:46	158
06:38:56	159
06:39:01	160
06:39:06	161
06:39:11	162
06:39:16	163
06:39:26	164
06:39:41	164
06:39:46	163
06:40:01	164
06:40:11	163
06:40:26	162
06:40:36	161
06:40:51	161
06:40:56	162
06:41:01	163
06:41:11	164
06:41:21	163
06:41:26	162
06:41:36	161
06:41:46	162
06:42:01	162
06:42:11	161
06:42:26	160
06:42:31	158
06:42:36	154
06:42:41	147
06:42:46	141
06:42:51	139
06:42:56	136
06:43:01	132
06:43:06	128
06:43:11	118
06:43:16	106
06:43:21	101
06:43:26	98
06:43:31	92
06:43:36	84
06:43:41	83
06:43:56	86
06:44:01	89
06:44:06	91
06:44:11	90
06:44:16	85
06:44:21	82
06:44:26	81
06:44:31	81
06:44:36	82
06:44:41	84
06:44:46	87
06:44:51	91
06:44:56	96
06:45:01	101
06:45:06	107
06:45:11	114
06:45:16	120
06:45:21	126
06:45:26	130
06:45:31	134
06:45:36	142
06:45:41	149
06:45:46	151
06:45:51	149
06:45:56	149
06:46:06	148
06:46:11	149
06:46:21	148
06:46:26	146
06:46:31	144
06:46:41	146
06:46:46	145
06:46:56	138
06:47:01	133
06:47:06	133
06:47:11	129
06:47:16	135
06:47:21	144
06:47:26	149
06:47:31	150
06:47:36	148
06:47:41	152
06:47:46	155
06:47:51	156
06:47:56	157
06:48:11	157
06:48:16	156
06:48:21	154
06:48:26	152
06:48:31	148
06:48:36	153
06:48:46	150
06:48:51	152
06:48:56	149
06:49:01	146
06:49:11	144
06:49:21	146
06:49:26	148
06:49:31	150
